model_id,model,policy,pass_threshold,review_threshold,pass_rate,review_rate,block_rate
aws_transcribe,AWS Transcribe,strict,0.03,0.1,0.592044875063743,0.2848036715961244,0.12315145334013258
aws_transcribe,AWS Transcribe,balanced,0.05,0.15,0.7100968893421724,0.23661397246302907,0.05328913819479857
aws_transcribe,AWS Transcribe,lenient,0.1,0.2,0.8768485466598674,0.10530341662417134,0.017848036715961243
whisper_base,Whisper base,strict,0.03,0.1,0.30673125956144826,0.3199898011218766,0.37327893931667516
whisper_base,Whisper base,balanced,0.05,0.15,0.4112697603263641,0.3663946965833758,0.22233554309026007
whisper_base,Whisper base,lenient,0.1,0.2,0.6267210606833248,0.24961754207037226,0.1236613972463029
whisper_medium,Whisper medium,strict,0.03,0.1,0.6795002549719531,0.2480877103518613,0.07241203467618562
whisper_medium,Whisper medium,balanced,0.05,0.15,0.7950025497195309,0.1774604793472718,0.027536970933197347
whisper_medium,Whisper medium,lenient,0.1,0.2,0.9275879653238144,0.062213156552779196,0.010198878123406425
whisper_large,Whisper large,strict,0.03,0.1,0.7287098419173891,0.2144314125446201,0.05685874553799082
whisper_large,Whisper large,balanced,0.05,0.15,0.8319734829168791,0.14864864864864866,0.019377868434472208
whisper_large,Whisper large,lenient,0.1,0.2,0.9431412544620091,0.0479347271800102,0.008924018357980621
