model_id,model,cer_threshold,pass_rate
aws_transcribe,AWS Transcribe,0.0,0.5611932687404385
aws_transcribe,AWS Transcribe,0.01,0.5611932687404385
aws_transcribe,AWS Transcribe,0.03,0.592044875063743
aws_transcribe,AWS Transcribe,0.05,0.7100968893421724
aws_transcribe,AWS Transcribe,0.1,0.8768485466598674
aws_transcribe,AWS Transcribe,0.15,0.9467108618052015
aws_transcribe,AWS Transcribe,0.2,0.9821519632840388
whisper_base,Whisper base,0.0,0.29117797042325344
whisper_base,Whisper base,0.01,0.29117797042325344
whisper_base,Whisper base,0.03,0.30673125956144826
whisper_base,Whisper base,0.05,0.4112697603263641
whisper_base,Whisper base,0.1,0.6267210606833248
whisper_base,Whisper base,0.15,0.77766445690974
whisper_base,Whisper base,0.2,0.8763386027536971
whisper_medium,Whisper medium,0.0,0.6511983681795003
whisper_medium,Whisper medium,0.01,0.6511983681795003
whisper_medium,Whisper medium,0.03,0.6795002549719531
whisper_medium,Whisper medium,0.05,0.7950025497195309
whisper_medium,Whisper medium,0.1,0.9275879653238144
whisper_medium,Whisper medium,0.15,0.9724630290668026
whisper_medium,Whisper medium,0.2,0.9898011218765935
whisper_large,Whisper large,0.0,0.7027027027027027
whisper_large,Whisper large,0.01,0.7027027027027027
whisper_large,Whisper large,0.03,0.7287098419173891
whisper_large,Whisper large,0.05,0.8319734829168791
whisper_large,Whisper large,0.1,0.9431412544620091
whisper_large,Whisper large,0.15,0.9806221315655278
whisper_large,Whisper large,0.2,0.9910759816420194
